src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.101.222.231,10.8.8.130,9396,34461,tcp,0x40,0x40,81,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,52,skype,chat,vpn,TCP
77.103.197.35,10.8.8.130,47872,52719,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.130,77.103.197.35,52719,47872,tcp,0x00,0x40,260,skype,chat,vpn,DATA
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,861,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,98,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,68,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,69,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,61,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,98,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,79,skype,chat,vpn,DATA
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
2.101.222.231,10.8.8.130,9396,34461,tcp,0x40,0x40,80,skype,chat,vpn,DATA
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,52,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,118,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
77.103.197.35,10.8.8.130,47872,52719,tcp,0x00,0x40,114,skype,chat,vpn,DATA
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,81,skype,chat,vpn,DATA
10.8.8.130,77.103.197.35,52719,47872,tcp,0x00,0x40,660,skype,chat,vpn,DATA
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,79,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,152,skype,chat,vpn,DATA
2.101.222.231,10.8.8.130,9396,34461,tcp,0x40,0x40,108,skype,chat,vpn,DATA
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,52,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,152,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,80,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,349,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,93,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,73,skype,chat,vpn,DATA
77.103.197.35,10.8.8.130,47872,52719,tcp,0x00,0x40,93,skype,chat,vpn,DATA
10.8.8.130,77.103.197.35,52719,47872,tcp,0x00,0x40,92,skype,chat,vpn,DATA
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,81,skype,chat,vpn,DATA
2.101.222.231,10.8.8.130,9396,34461,tcp,0x40,0x40,79,skype,chat,vpn,DATA
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,80,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,160,skype,chat,vpn,DATA
10.8.8.178,134.170.25.26,54269,443,tcp,0x00,0x40,825,skype,chat,vpn,TLS
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,411,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,61,skype,chat,vpn,DATA
2.101.222.231,10.8.8.130,9396,34461,tcp,0x40,0x40,72,skype,chat,vpn,DATA
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,52,skype,chat,vpn,TCP
77.103.197.35,10.8.8.130,47872,52719,tcp,0x00,0x40,152,skype,chat,vpn,DATA
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,80,skype,chat,vpn,DATA
10.8.8.130,77.103.197.35,52719,47872,tcp,0x00,0x40,101,skype,chat,vpn,DATA
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,72,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,160,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,80,skype,chat,vpn,DATA
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,61,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
2.101.222.231,10.8.8.130,9396,34461,tcp,0x40,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,80,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,174,skype,chat,vpn,DATA
157.56.192.53,10.8.8.130,443,33104,tcp,0x00,0x40,569,skype,chat,vpn,TLS
10.8.8.130,157.56.192.53,33104,443,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.130,157.56.192.53,33104,443,tcp,0x00,0x40,537,skype,chat,vpn,TLS
2.101.222.231,10.8.8.130,9396,34461,tcp,0x40,0x40,80,skype,chat,vpn,DATA
134.170.25.26,10.8.8.178,443,54269,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,174,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,81,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,79,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,114,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,111,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,160,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,122,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,120,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,100,skype,chat,vpn,DATA
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
77.103.197.35,10.8.8.130,47872,52719,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.130,77.103.197.35,52719,47872,tcp,0x00,0x40,143,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,407,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,61,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,99,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,68,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,60,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,60,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
134.170.25.26,10.8.8.178,443,54269,tcp,0x00,0x40,153,skype,chat,vpn,TLS
10.8.8.178,134.170.25.26,54269,443,tcp,0x00,0x40,52,skype,chat,vpn,TCP
157.56.192.53,10.8.8.130,443,33104,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,168,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,316,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,68,skype,chat,vpn,DATA
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,68,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,99,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,80,skype,chat,vpn,DATA
2.101.222.231,10.8.8.130,9396,34461,tcp,0x40,0x40,80,skype,chat,vpn,DATA
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,52,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,61,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,68,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,80,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,80,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,339,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,316,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,78,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,79,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,81,skype,chat,vpn,DATA
77.103.197.35,10.8.8.130,47872,52719,tcp,0x00,0x40,52,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
2.101.222.231,10.8.8.130,9396,34461,tcp,0x40,0x40,79,skype,chat,vpn,DATA
10.8.8.130,2.101.222.231,34461,9396,tcp,0x00,0x40,52,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,68,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,68,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,134,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,339,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,73,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,79,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,120,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,101,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,111,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,99,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,73,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,52,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,344,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,61,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,69,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,114,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,60,skype,chat,vpn,DATA
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,114,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,73,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,99,skype,chat,vpn,DATA
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,61,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,69,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,60,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,73,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,524,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,99,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,67,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,524,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,81,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,583,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,93,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,80,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,106,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,99,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,80,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,73,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,81,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,93,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,108,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,901,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,101,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,69,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,69,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,61,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,68,skype,chat,vpn,DATA
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,108,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,101,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,80,skype,chat,vpn,DATA
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,67,skype,chat,vpn,DATA
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,147,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,52,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,67,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,80,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,473,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,473,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,79,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,79,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,100,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,72,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,122,skype,chat,vpn,DATA
10.8.8.178,134.170.25.26,54269,443,tcp,0x00,0x40,745,skype,chat,vpn,TLS
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,244,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,66,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,68,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,121,skype,chat,vpn,DATA
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
157.56.192.53,10.8.8.130,443,33104,tcp,0x00,0x40,505,skype,chat,vpn,TLS
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,66,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,121,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,79,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,101,skype,chat,vpn,DATA
86.4.212.228,10.8.8.130,59222,59320,tcp,0x00,0x40,68,skype,chat,vpn,DATA
10.8.8.130,86.4.212.228,59320,59222,tcp,0x00,0x40,40,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
10.8.8.130,157.56.192.53,33104,443,tcp,0x00,0x40,52,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,79,skype,chat,vpn,DATA
10.8.8.178,2.30.116.54,43020,58139,tcp,0x00,0x40,169,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,52,skype,chat,vpn,TCP
134.170.25.26,10.8.8.178,443,54269,tcp,0x00,0x40,52,skype,chat,vpn,TCP
134.170.25.26,10.8.8.178,443,54269,tcp,0x00,0x40,153,skype,chat,vpn,TLS
10.8.8.178,134.170.25.26,54269,443,tcp,0x00,0x40,52,skype,chat,vpn,TCP
86.4.212.228,10.8.8.178,59222,52449,tcp,0x00,0x00,40,skype,chat,vpn,TCP
2.30.116.54,10.8.8.178,58139,43020,tcp,0x00,0x40,101,skype,chat,vpn,DATA
10.8.8.178,86.4.212.228,52449,59222,tcp,0x00,0x40,68,skype,chat,vpn,DATA
2.30.116.54,10.8.8.130,58139,48835,tcp,0x00,0x40,169,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,81,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,147,skype,chat,vpn,DATA
10.8.8.130,2.30.116.54,48835,58139,tcp,0x00,0x40,93,skype,chat,vpn,DATA
